OID_,Value,Count,LC16_BPS_2,LC20_SCla_,BPS_MODEL,BPS_NAME,GROUPVEG,LABEL
0,1,361368.000000000000000,1615,6,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UN
1,2,1209031.000000000000000,1615,5,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,E
2,3,7760.000000000000000,1625,1,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,A
3,4,1603286.000000000000000,1625,4,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,D
4,5,78749.000000000000000,1615,7,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,UE
5,6,564748.000000000000000,1615,3,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,C
6,7,4263090.000000000000000,1639,4,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,D
7,8,155378.000000000000000,1625,120,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,Developed
8,9,1509267.000000000000000,1623,4,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,D
9,10,173375.000000000000000,1615,120,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Developed
10,11,12618.000000000000000,1625,2,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,B
11,12,2079163.000000000000000,1637,4,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,D
12,13,56685.000000000000000,1625,7,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,UE
13,14,1069486.000000000000000,1639,3,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,C
14,15,829060.000000000000000,1637,3,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,C
15,16,39476.000000000000000,1615,2,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,B
