OID_,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_PLUS_INCIDENT_JOIN_ID,ICS_209_PLUS_COMPLEX_JOIN_ID,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,NWCG_CAUSE_AGE_CATEGORY,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
1,3193,FS-1425659,FED,FS-FIRESTAT,FS,USMIOTF,Ottawa National Forest,0907,Ottawa National Forest,7,04005,BE1Z,DOG DAY,,,,,,2005,9/11/2005,254,1745,Natural,Natural,,9/12/2005,255,1830,3.000000000000000,B,46.677500000000002,-88.000277780000005,USFS,MI,103,26103,Marquette County
2,3195,FS-1425662,FED,FS-FIRESTAT,FS,USMIOTF,Ottawa National Forest,0907,Ottawa National Forest,8,04006,BE1Z,BULLDOG,,,,,,2005,9/17/2005,260,1700,Natural,Natural,,9/18/2005,261,1530,3.200000000000000,B,46.702500000000001,-87.966944440000006,USFS,MI,13,26013,Baraga County
3,6203,FS-1430546,FED,FS-FIRESTAT,FS,USMIHIF,Hiawatha National Forest,0910,Hiawatha National Forest,1,HIA05-001,BE12,DUKES,,,,,,2005,6/15/2005,166,1830,Natural,Natural,,6/15/2005,166,2100,0.100000000000000,A,46.333333330000002,-87.151666669999997,USFS,MI,103,26103,Marquette County
4,6204,FS-1430548,FED,FS-FIRESTAT,FS,USMIHIF,Hiawatha National Forest,0910,Hiawatha National Forest,2,HIA05-002,BE12,COALWOOD,,,,,,2005,6/20/2005,171,1300,Human,Missing data/not specified/undetermined,,6/20/2005,171,1700,1.000000000000000,B,46.333333330000002,-86.711111110000004,USFS,MI,3,26003,Alger County
5,6205,FS-1430549,FED,FS-FIRESTAT,FS,USMIHIF,Hiawatha National Forest,0910,Hiawatha National Forest,3,HIA05-003,BE12,MIRROR,,,,,,2005,6/20/2005,171,1400,Human,Arson/incendiarism,,6/20/2005,171,1730,0.120000000000000,A,46.287777779999999,-86.673888890000001,OTHER FEDERAL,MI,3,26003,Alger County
6,6207,FS-1430551,FED,FS-FIRESTAT,FS,USMIHIF,Hiawatha National Forest,0910,Hiawatha National Forest,5,HIA05-005,BE12,COOKS,,,,,,2005,7/2/2005,183,1000,Natural,Natural,,7/4/2005,185,1400,0.400000000000000,B,46.233333330000001,-86.843888890000002,USFS,MI,3,26003,Alger County
7,6210,FS-1430555,FED,FS-FIRESTAT,FS,USMIHIF,Hiawatha National Forest,0910,Hiawatha National Forest,8,HIA05-008,BE12,ISAW,,,,,,2005,7/8/2005,189,1400,Natural,Natural,,7/10/2005,191,1800,2.500000000000000,B,46.048333329999998,-86.532222219999994,USFS,MI,41,26041,Delta County
8,6215,FS-1430560,FED,FS-FIRESTAT,FS,USMIHIF,Hiawatha National Forest,0910,Hiawatha National Forest,10,HIA05-010,BE12,BLUE JOE,,,,,,2005,7/16/2005,197,0945,Human,Recreation and ceremony,,7/16/2005,197,1110,0.100000000000000,A,46.183333330000004,-86.575277779999993,USFS,MI,153,26153,Schoolcraft County
9,6216,FS-1430561,FED,FS-FIRESTAT,FS,USMIHIF,Hiawatha National Forest,0910,Hiawatha National Forest,11,HIA05-011,BE12,LYMAN LAKE,,,,,,2005,7/17/2005,198,1500,Human,Missing data/not specified/undetermined,,7/17/2005,198,1545,0.200000000000000,A,46.066666669999996,-86.533611109999995,USFS,MI,41,26041,Delta County
10,6220,FS-1430566,FED,FS-FIRESTAT,FS,USMIHIF,Hiawatha National Forest,0910,Hiawatha National Forest,14,HIA05-014,BE12,PK,,,,,,2005,8/9/2005,221,1430,Natural,Natural,,8/9/2005,221,1800,0.100000000000000,A,46.316666669999996,-86.625277780000005,USFS,MI,3,26003,Alger County
