wfer,count,sq_mile, acres 
0,461898,161," 102,541 "
1,347497,121," 77,144 "
2,430475,150," 95,565 "
3,535634,186," 118,911 "
4,646714,225," 143,571 "
5,993858,345," 220,636 "
6,1445588,502," 320,921 "
7,1222908,425," 271,486 "
8,1158798,403," 257,253 "
9,1080852,376," 239,949 "
10,1010995,351," 224,441 "
11,943814,328," 209,527 "
12,878408,305," 195,007 "
13,821933,286," 182,469 "
14,764623,266," 169,746 "
15,716582,249," 159,081 "
16,674169,234," 149,666 "
17,631061,219," 140,096 "
18,593310,206," 131,715 "
19,573422,199," 127,300 "
20,524674,182," 116,478 "
21,473439,165," 105,103 "
22,438121,152," 97,263 "
23,405606,141," 90,045 "
24,375749,131," 83,416 "
25,348290,121," 77,320 "
26,325299,113," 72,216 "
27,300415,104," 66,692 "
28,280749,98," 62,326 "
29,262432,91," 58,260 "
30,246027,85," 54,618 "
31,230993,80," 51,280 "
32,214204,74," 47,553 "
33,201187,70," 44,664 "
34,188243,65," 41,790 "
35,176444,61," 39,171 "
36,165152,57," 36,664 "
37,156588,54," 34,763 "
38,148483,52," 32,963 "
39,138641,48," 30,778 "
40,129765,45," 28,808 "
41,122726,43," 27,245 "
42,115733,40," 25,693 "
43,109796,38," 24,375 "
44,104540,36," 23,208 "
45,99337,35," 22,053 "
46,94129,33," 20,897 "
47,90252,31," 20,036 "
48,85753,30," 19,037 "
49,81060,28," 17,995 "
50,76074,26," 16,888 "
51,73232,25," 16,258 "
52,68902,24," 15,296 "
53,65301,23," 14,497 "
54,62461,22," 13,866 "
55,60023,21," 13,325 "
56,56972,20," 12,648 "
57,55549,19," 12,332 "
58,53190,18," 11,808 "
59,51363,18," 11,403 "
60,48822,17," 10,838 "
61,46552,16," 10,335 "
62,44720,16," 9,928 "
63,42895,15," 9,523 "
64,41482,14," 9,209 "
65,40800,14," 9,058 "
66,39675,14," 8,808 "
67,38582,13," 8,565 "
68,38538,13," 8,555 "
69,37149,13," 8,247 "
70,37004,13," 8,215 "
71,37093,13," 8,235 "
72,37555,13," 8,337 "
73,37356,13," 8,293 "
74,37215,13," 8,262 "
75,35890,12," 7,968 "
76,35026,12," 7,776 "
77,34264,12," 7,607 "
78,34106,12," 7,572 "
79,34287,12," 7,612 "
80,34527,12," 7,665 "
81,34208,12," 7,594 "
82,34731,12," 7,710 "
83,34966,12," 7,762 "
84,34719,12," 7,708 "
85,33793,12," 7,502 "
86,31996,11," 7,103 "
87,30276,11," 6,721 "
88,28747,10," 6,382 "
89,27199,9," 6,038 "
90,25331,9," 5,623 "
91,22384,8," 4,969 "
92,19359,7," 4,298 "
93,15891,6," 3,528 "
94,12387,4," 2,750 "
95,10134,4," 2,250 "
96,6731,2," 1,494 "
97,4372,2, 971 
98,3331,1, 739 
99,1871,1, 415 
100,10,0, 2 
